SRR3405783_2	SRR3405784_2	SRR3405785_2	SRR3405786_2	SRR3405787_2	SRR3405788_2	SRR3405789_2	SRR3405790_2	SRR3405791_2	SRR3405792_2	SRR3405793_2	SRR3405794_2	SRR3405795_2	SRR3405796_2	SRR3405797_2	SRR3405798_2	SRR3405799_2	SRR3405800_2	SRR3405801_2	SRR3405802_2	SRR3405803_2	SRR3405804_2	SRR3405805_2	SRR3405806_2	SRR3405807_2	SRR3405808_2	SRR3405809_2	SRR3405810_2	SRR3405811_2	SRR3405812_2	SRR3405813_2	SRR3405814_2	SRR3405815_2	SRR3405816_2	SRR3405817_2	SRR3405818_2	SRR3405819_2	SRR3405820_2	SRR3405821_2	SRR3405822_2	SRR3405823_2	SRR3405824_2	SRR3405825_2	SRR3405826_2	SRR3405827_2	SRR3405828_2	SRR3405829_2	SRR3405830_2	SRR3405831_2	SRR3405832_2
YPL127C	278.337750740201	347.084335653074	470.060721337848	463.993710667929	694.243056026889	1484.0770643962	2079.54695173756	2357.50764842722	2013.79856622549	1935.96718640001	1666.24709390009	1298.77126902287	1025.36477462549	798.481275805436	608.715583943429	519.46363877009	576.919948518825	678.080805014549	999.786205499982	1124.13893258193	1356.02041928353	1604.08214098585	1652.4890903899	1679.17538730328	1668.31692114548	1644.09029425656	1199.83664812783	1304.22132291252	1084.38662190213	1088.89205768086	1055.19120043945	1105.59508189908	1139.64298377089	1302.20240874638	1432.49714916059	1536.18263129151	1567.09692025181	1664.15376469789	1459.30452574029	1446.74755987765	1371.75959689011	1325.37807105251	1336.08734128656	1291.8469108133	1340.60855846779	1165.38772799997	1263.87088668169	1302.6892842511	1376.1544834575	1345.69175699166
YGL021W	623.002795273811	652.629322624263	494.594161908717	532.538236107509	400.947334572492	403.741453746864	587.677932511505	861.540560800179	1745.17349246219	3198.36257014466	4237.8655620479	4391.39459949585	4254.45606672691	3826.01250897074	2684.77793327008	1834.83063050956	1404.67465726323	1062.63622046116	762.723496979368	701.668418703101	764.496551344099	1024.50969676075	1459.44673359559	1880.91991855877	2056.18554829988	2117.59834691868	2315.08369954165	2029.27995666728	2072.34700312269	1746.61985048385	1456.0560006064	1335.80896784722	1306.65962794421	1216.82746696258	1253.80727608443	1215.66762625304	1287.6146669585	1633.77015397049	1683.81291431572	1843.55411003325	1924.02644758612	1803.88398078306	1714.42305775644	1614.31100873587	1500.57741369352	1436.04042460651	1443.77486623811	1309.50172094968	1305.67061859584	1356.2877550782
YNL126W	220.301368670967	290.775440773187	161.920707767735	302.650443094763	526.174721260886	916.221254138769	1230.8844885674	1231.53384619333	1332.45152482587	1252.68465002353	1103.4213623644	845.646475953871	613.888456355949	462.554028710358	375.391893334789	276.439714199288	311.871218547133	404.061849563464	537.440301925616	595.132376072787	706.838990209209	791.142031165683	824.50018654922	837.413722409661	697.440792305584	636.786691511133	658.908437561853	502.235736552075	451.078685222289	414.981155740371	406.257600169193	500.217826257683	548.20757322772	585.428172231802	579.749365980447	644.464099416631	633.825824433058	652.813579057285	645.67262127896	576.50974643296	568.102459318125	530.336337090147	519.377746791139	513.553933728552	519.029383531304	518.053443332789	510.636548033868	541.967186242759	564.730478220847	590.115585743161
YER003C	3666.95181400707	2870.83054223686	2894.94598736253	3857.47498550746	6615.08177752204	9855.92291952132	12532.8103339698	12536.0549174848	12355.8639061123	9693.96063559439	7596.63168704725	5822.5603553825	4240.20169080533	3458.69019205369	3292.45652303303	3378.03255153416	4290.94663159219	5602.99098061337	6749.6612165124	7964.48760077656	8688.14027693706	8529.45995350749	8425.25225888448	7024.53587707709	7281.57096629923	6325.16327110467	5989.16605155462	5368.08654332333	4847.46152307721	5224.83237868099	5445.82920226801	5869.98040055418	6624.66606859232	6928.50489091644	7357.05916315256	7631.6912092552	7212.88797450297	7182.68557595742	7055.97792665635	6183.79678966619	5927.46625236281	5851.28503156005	5523.51086312191	5454.02239696214	5598.04053694818	5857.63121384184	5901.39569302486	6365.08668870861	6580.78621196165	7088.72271990093
YDR146C	30.7948149755116	39.6931554071334	43.1788554047292	40.0721841031393	36.2500329887458	43.2939713494143	101.802476498056	239.909190816882	520.349894541479	991.377633528139	1540.9501626426	1701.54886286198	1799.85253303122	1601.14856092047	1328.38954519852	966.02010016894	773.407177362193	587.979656950972	521.24347090868	328.179993389932	321.387516696332	471.864290873535	705.883798639459	923.502983591963	1174.44693004826	1243.42963431168	1314.47781209552	1241.44185584351	1117.07348315013	873.887893425405	870.038400362343	717.16836075202	689.680495351003	671.741300189055	732.628479612278	661.63454611512	746.117801202694	877.652298440047	950.362577202757	1005.24326039418	1054.05769890907	991.256923252264	974.905385261165	901.705162709434	946.772192069665	841.72058566638	892.251050123235	865.179460719935	841.508581701993	836.268772061441
YDR191W	201.350713301422	265.851831564056	367.020270940199	558.901515122732	407.538249661354	268.825356983573	122.162971797667	103.427517818833	71.1589599372963	49.43646258021	53.5543335213493	109.085598331426	193.859512533458	290.927647016922	390.946806042032	413.140671770364	407.188427432852	351.115814103424	297.432715038286	236.338577329317	211.411057494597	171.820149394168	118.616387909761	125.220743537893	109.615046804505	169.558586497047	209.247949766264	248.465214737911	269.666605295934	317.882500915326	293.008800122029	270.003940309545	259.367023892685	239.237474229342	222.369619828117	210.624146168135	173.428719677549	185.774077018962	218.600273086602	185.176390072612	216.749893015104	213.800512858331	262.071340123969	245.829111687892	219.087779983063	233.449576798079	224.425671466842	212.699412477954	198.558204671257	180.131967471324
YJL159W	30177.7342600408	25962.0929261774	26441.1609096597	35019.9253126619	34055.2582641545	18644.5991034524	11141.8183141827	6772.90302252814	5101.20794050493	3442.01370714712	2773.71029275668	3774.17523115906	8936.54341110116	17200.31225313	34389.8380073525	42154.0186163343	41293.2543442018	41296.9787810162	36476.7358893241	32699.2177742215	25131.2225265169	19298.9930487434	15544.5613449978	12119.4548797751	10173.7218166027	12470.7200394754	13264.9843899699	21998.4557916885	25682.0668825473	23909.3878143004	27984.1380116545	26958.7092120997	27151.9940883414	26391.1770591035	21776.339198882	18921.8322617352	14162.5136479127	16877.661707489	14709.5195341826	16911.2566283554	18341.5936865566	20914.5029829425	19798.2985130017	21401.0663507075	26640.90016675	28212.9859067447	29821.3561263693	26319.4707162667	26655.7943076205	27085.0012627697
YOR073W	100.675356650711	258.467058465055	232.577016611837	237.269511137009	288.901778061823	412.802982633951	576.572207802627	681.342101919944	817.438552279691	858.958537331148	777.043065621087	705.793144759736	620.540498452685	474.065554311747	398.205765305412	346.309092513394	290.13220599425	343.684791582716	344.550768905738	380.835738598018	444.176767261376	541.105246599543	583.778693438235	615.668655727975	597.462233132244	558.915340675452	536.476126528401	458.909062095999	440.455455316692	367.587764694813	388.281600161707	384.637192160264	402.804847712124	451.267549428681	525.149682540508	472.759632431738	469.130925170925	541.696374111365	492.90563506786	490.763043640716	492.883318363112	449.814066013632	425.98505103787	427.96161144046	382.534219018046	383.192134027126	455.211584635174	425.398824955909	433.217901100924	447.477149962701
YGR092W	803.034021284494	1252.64213691814	791.939461627648	679.11806743215	512.99289108316	336.283405365218	217.487108882211	234.577875465395	207.250470817375	235.705991230644	399.131353602509	727.237322209503	1084.28286176802	1286.15136037337	1323.20457429611	1151.32584265418	1124.575841678	902.869236265947	718.550321478632	677.17737442027	554.153226463111	484.686690082055	418.646074975626	473.056142254263	552.893477838105	671.954398340151	762.41939143559	991.208205413515	971.616950596561	857.704784287898	895.204800372824	853.591404276842	816.41665475311	747.734380238375	626.407277283668	591.808062874597	527.77229081729	616.353246184405	637.232456294922	723.373779938824	783.862626794347	728.402613071458	797.649860668226	762.368824100912	786.803336843936	679.887014499585	748.691308861044	687.299169145846	648.107732996223	590.930662519049
YML034W	467.844304435657	628.628810052508	382.721672905555	276.287164079539	231.780513958344	231.572404892216	342.426511857098	558.72184883576	840.565214259312	1159.10848871099	1361.08843874071	1488.0394439056	1821.70924277764	1734.05435650014	1313.87162667176	978.17129639748	790.965610577983	661.361004342957	491.794687241523	445.737005947519	484.750606578521	584.701403908511	794.264636689869	980.026235883373	1080.4911756444	1139.18250335424	1306.68666502976	1099.96700047673	1150.57751592932	899.318493498631	865.544400360472	725.694800972321	692.627847895238	739.29070467734	754.468352988253	793.274637470205	793.529969172096	816.016973821607	975.683072154874	927.70634829481	1080.78028845887	949.607472695446	877.700742742456	873.83789498773	867.657160409114	826.839337742997	864.08426544521	797.055093734114	787.356344064378	796.330010042912
